变量模块,一级维度,二级维度,三级指标,变量名,基准或备选,定义与公式,方向,原始字段,优先数据库,预期覆盖年份,缺失或口径风险,替代方案
Y新质生产力,劳动者,知识结构,本科及以上员工占比,NQP_edu,基准,"本科及以上员工人数/期末员工总数",正向,"员工总数；本科/硕士/博士人数",CSMAR上市公司员工构成或Wind员工结构,2013-2023,"早期年度学历分层缺失；不同公司披露口径可能为母公司或合并口径",技术人员占比；仅保留披露口径一致的公司年份
Y新质生产力,劳动者,技能结构,技术人员占比,NQP_techstaff,基准,"技术人员人数/期末员工总数",正向,"技术人员人数；员工总数",CSMAR员工构成；年报,2013-2023,"技术人员分类由公司自行披露且可能与生产/研发人员重叠",研发人员占比；按公司内年度统一口径
Y新质生产力,劳动者,研发人力,研发人员占比,NQP_rdperson,增强版,"研发人员人数/期末员工总数",正向,"研发人员数量；员工总数",CSMAR研发创新；Wind；年报,2013-2023,"2013年前后披露不齐；研发人员可能与技术人员重复，因此不可与技术人员等权叠加而不做相关性检验",若缺失率高则从基准指数删除，仅用于增强版
Y新质生产力,劳动资料,资本深化,人均净固定资产,NQP_capital_worker,基准,"期末固定资产净额/期末员工人数；指数计算前取ln(1+x)",正向,"固定资产净额；员工总数",CSMAR财务报表与员工构成,2013-2023,"养殖、种植、农机等子行业资本需求天然不同；固定资产不必然代表先进设备",加入企业和年份固定效应；稳健性改用固定资产更新率
Y新质生产力,劳动资料,设备更新,长期资产投资强度,NQP_capex,基准,"购建固定资产、无形资产和其他长期资产支付的现金/期初总资产",正向,"购建固定资产、无形资产和其他长期资产支付的现金；期初总资产",CSMAR现金流量表,2013-2023,"现金流项目包含土地使用权等并非全部为先进设备；极端值明显",1%/99%缩尾；改用固定资产净增加额/期初固定资产
Y新质生产力,劳动资料,数字化工具,数字化转型程度,NQP_digital,增强版,"年报数字化词频经对数化的数据库指标，或数字相关无形资产明细/总资产",正向,"数字化转型总词频；软件、信息系统等无形资产明细",CNRDS/Wingo数字化转型库；年报附注,2013-2023,"商业库权限需实查；词频可能反映披露而非投入；自行抽取明细成本高",缺少数据库权限时不纳入基准指数，以无形资产强度替代并做口径说明
Y新质生产力,劳动对象,知识与数据要素,无形资产强度,NQP_intangible,基准,"扣除土地使用权后的无形资产净额/总资产；无法扣除时以无形资产净额/总资产并作稳健性",正向,"无形资产净额；土地使用权净额；总资产",CSMAR财务报表；年报无形资产附注,2013-2023,"土地使用权占比高会把传统土地资本误判为新要素；数据库主表通常不能拆分",优先逐项附注扣除土地使用权；无法拆分则标记口径并以原值做稳健性
Y新质生产力,劳动对象,绿色对象拓展,绿色发明专利申请,NQP_greenpat,增强版,"ln(1+当年绿色发明专利申请数)",正向,"绿色发明专利申请号、申请日、专利类型、IPC绿色分类",CNRDS绿色专利研究数据库；CNRDS/CNRDS专利库,2013-2023,"涉农企业专利零值多；专利归属上市公司本体还是子公司需统一；数据库权限待核",无权限时用ln(1+全部发明专利申请数)；将绿色指标仅用于稳健性
Y新质生产力,劳动对象,研发知识对象,研发投入强度,NQP_rdint,基准,"研发投入合计/营业收入；研发投入合计=费用化研发+资本化研发",正向,"费用化研发投入；资本化研发投入；营业收入",CSMAR研发创新；Wind；年报,2013-2023,"早期研发披露缺失；农业企业研发强度偏低且零值多；若M1改用研发投入会产生机械重复",M1坚持使用融资约束时可保留；若M1使用研发投入则从Y中删除并重算指数
Y新质生产力,科技创新,创新产出,发明专利产出,NQP_invpat,基准,"ln(1+当年获得授权的发明专利数)",正向,"专利授权号、授权日、专利类型、申请人统一社会信用代码/证券代码",CNRDS中国创新专利研究数据库；CSMAR专利,2013-2023,"授权有滞后；上市公司及子公司合并范围映射；同族专利和更名去重",改用ln(1+发明专利申请数)；以t+1授权数匹配t期投入做效率稳健性
