优先级,模块,数据库或数据表,股票范围,时间范围,最小字段,用途,当前状态,收到文件后的首要检查
P0,耐心资本X,RESSET INSHOLDSHR,入口池146个股票代码,2013-2023各年12月31日,七个标识追溯字段；保险/社保/企业年金全部股票持股数及比例；A股与无限售A股比例；机构合计及股本分母,构造PatientCapital及替代分母口径,未取得正式导出,比例单位；重复版本；缺行与零值
P0,财务报表,CSMAR或RESSET资产负债表利润表现金流量表,入口池146个股票代码,2012-2023,总资产；总负债；固定资产净额；无形资产；营业收入；净利润；经营现金流；购建长期资产现金支出；长期借款；应付债券；利息支出,构造Y部分指标M1控制变量及滞后项,未取得正式导出,合并口径；单位；年末日期；前期滞后覆盖
P0,公司基本信息,CSMAR或RESSET公司基本信息,入口池146个股票代码,截至2023,成立日期；上市日期；行业代码；证券状态,年龄控制与样本核对,未取得正式导出,名称变更；上市前年份；日期缺失
P0,员工结构,CSMAR员工构成或Wind,入口池146个股票代码,2013-2023,员工总数；本科硕士博士人数；技术人员人数；研发人员人数,Y劳动者维度,未取得正式导出,母公司/合并口径；人员类别重叠；早期缺失
P0,研发数据,CSMAR研发创新或Wind,入口池146个股票代码,2013-2023,费用化研发；资本化研发；研发投入合计；研发人员数,Y研发强度或替代机制,未取得正式导出,研发投入总额定义；2018年前后列报变化
P0,专利数据,CNRDS或CSMAR专利模块,入口池146个股票代码及统一子公司范围,2013-2023,申请日；授权日；专利类型；申请主体；上市公司关联关系,发明授权数及发明授权占比,未取得正式导出,母子公司合并范围；授权年口径；重复专利
P0,公司治理,CSMAR治理或RESSET,入口池146个股票代码,2013-2023,第一大股东年末持股比例；董事人数；独立董事人数；董事长与总经理人员ID；最终控制人性质,基准控制变量,未取得正式导出,年末口径；换届；控制权变更
P1,融资约束,CSMAR融资约束模块或用财务字段复算,入口池146个股票代码,2013-2023,SA；WW；KZ及其字段说明,M1融资约束及稳健性,权限与字段待核实,指数方向；公式版本；与控制变量重叠
P1,内部控制,DIB内部控制数据库或同等来源,入口池146个股票代码,2013-2023,内部控制指数；重大缺陷；内控审计意见,M2内部控制质量,权限待核实,指数版本；缺失含义；是否免审计
P1,无形资产附注,CSMAR附注或年度报告,最终分析样本,2013-2023,土地使用权净额；软件与专利等其他无形资产,构造扣土地后的无形资产强度,字段覆盖待核实,土地能否稳定拆分；单位与合并口径
