下载包ID,优先级,数据库与优先顺序,模块或表名候选,模块表名核实状态,股票范围,查询年份,频率与日期,报表或主体口径,主键与追溯字段中文,已核实字段代码,必选原始字段中文,未核实字段代码处理,同表字段是否允许合并下载,直接用途,缺失或无权限替代,下载后首检
X-00,P0已完成,RESSET,"机构投资者持股（INSHOLDSHR）",表代码及字段已由正式导出核实,入口池146只,2013-2023,年度取各年12月31日,"公司报告期末；全部股票/总股本为基准",股票代码；截止日期；统计日期；信息来源,"StkCd；EndDt；StatDt；InfoSource；InsuComHoldPer；SocSecFdHoldPer；EntAnnuHoldPer",保险公司、社保基金、企业年金全部股票持股比例,其他字段见现有X审计,已按批次完成无需重下,PatientCapital基准变量,无需替代；历史代码15条仍需专项补查,沿用已完成的版本去重与结构性零值规则
P0-01,P0,CSMAR优先；RESSET后备,"CSMAR中国上市公司财务报表数据库—资产负债表；RESSET公司财务—资产负债表",候选名称；需登录页面确认实际表名,入口池146只,2012-2023,年度12月31日,"合并报表；报告类型为年报；原币统一人民币；下载2012用于滞后",证券代码；会计期间；报表类型；公司名称,需在页面确认,总资产；总负债；固定资产净额；无形资产净额；现金及现金等价物/货币资金；短期借款；一年内到期的非流动负债；长期借款；应付债券；应收账款,需在页面确认；不得按常见代码猜测,是；一次勾选同一资产负债表字段,Size；Lev；资本深化；无形资产强度；WW/KZ原料；有息负债,另一数据库相同合并年报字段；仍缺则年报财务报表,报告类型混入母公司/调整前；单位；2012滞后；重复版本
P0-02,P0,CSMAR优先；RESSET后备,"CSMAR中国上市公司财务报表数据库—利润表；RESSET公司财务—利润表",候选名称；需登录页面确认实际表名,入口池146只,2012-2023,年度12月31日,"合并报表；年报；本期累计数；人民币",证券代码；会计期间；报表类型；公司名称,需在页面确认,营业收入；营业成本；净利润；归属于母公司股东净利润；管理费用；财务费用；研发费用；利息费用或利息支出（若表中有）,需在页面确认,是；一次勾选同一利润表字段,ROA；Growth；研发交叉核验；TFP产出与中间投入候选；融资成本,另一数据库；利息支出缺失转财务报表附注,累计数与单季数；合并与母公司；2018研发费用列报变化
P0-03,P0,CSMAR优先；RESSET后备,"CSMAR中国上市公司财务报表数据库—现金流量表；RESSET公司财务—现金流量表",候选名称；需登录页面确认实际表名,入口池146只,2012-2023,年度12月31日,"合并报表；年报；本期累计数；人民币",证券代码；会计期间；报表类型；公司名称,需在页面确认,经营活动产生的现金流量净额；购建固定资产、无形资产和其他长期资产支付的现金；支付给职工以及为职工支付的现金；购买商品、接受劳务支付的现金；分配股利、利润或偿付利息支付的现金,需在页面确认,是；一次勾选同一现金流量表字段,CFO；长期资产投资强度；人均薪酬候选；WW现金流；TFP中间投入候选,另一数据库相同字段；仍缺则年报,累计数与单季数；购建长期资产包含土地；股利与利息合并字段不能直接作利息
P0-04,P0,CSMAR优先；RESSET后备,"CSMAR公司研究系列—上市公司基本信息/公司概况年度文件；RESSET公司信息—公司基本资料",候选名称；需登录页面确认实际表名,入口池146只,截至2023并保留历史变更,静态信息加有效日期,"上市公司法人本体；历史名称和状态保留",证券代码；公司代码；公司名称；信息有效起止日,需在页面确认,成立日期；上市日期；注册地；证监会行业代码与名称；上市状态；证券类别,需在页面确认,是；基本信息同表一次下载,ListAge；SA成立年龄；行业；样本状态和地区控制,另一数据库；成立日期或行业缺失用交易所公司概况及年报,当前信息覆盖历史；行业代码版本；代码更名和历史证券代码
P0-05,P0,CSMAR优先；RESSET后备,"CSMAR公司研究/治理研究—员工构成情况表；RESSET公司治理或员工结构表",候选名称；需登录页面检索并确认,入口池146只,2013-2023,年度,"优先合并口径；若数据库只有上市公司本体口径须完整保留口径字段",证券代码；统计截止日；口径或信息来源,需在页面确认,员工总数；本科人数；硕士人数；博士人数；技术人员人数；研发人员人数,需在页面确认,是；同一员工表字段合并下载,Y劳动者指标；人均固定资产；TFP劳动投入,另一数据库；学历缺失以技术人员占比降级；最后才用年报补缺,人员类别是否重叠；学历人数之和是否超过总人数；母公司/合并口径
P0-06,P0,CSMAR优先；RESSET后备,"CSMAR公司研究/创新研究—研发投入情况表；RESSET公司研发投入或财务附注研发表",候选名称；需登录页面检索并确认,入口池146只,2013-2023,年度,"合并范围优先；保留数据库口径和单位",证券代码；会计年度；信息来源；口径,需在页面确认,费用化研发投入；资本化研发投入；研发投入合计；研发人员数；研发人员占比,需在页面确认,是；同一研发表字段合并下载,Y研发强度；研发人员增强指标；利润表研发费用交叉核验,另一数据库；缺失以年报研发投入情况表补充,研发投入合计不必等于利润表研发费用；资本化比例；早期缺失
P0-07,P0,CSMAR优先；RESSET后备,"CSMAR公司创新研究—上市公司专利年度统计/专利明细；RESSET公司专利或知识产权表",候选名称；公开官网未核实具体表名；必须页面确认,入口池146只及统一纳入的子公司,2013-2023,按授权日汇总年度,"上市公司本体加合并报表范围子公司或仅本体二选一并全期固定；优先明细",证券代码；申请主体；关联上市公司；专利号；申请日；授权日；专利类型,需在页面确认,发明专利授权数；实用新型授权数；外观设计授权数；若明细则下载专利号、类型、申请人、申请日、授权日和母子公司映射,需在页面确认,是；同一专利统计表字段可合并；明细与汇总不要混在原始层,Y发明授权数与发明授权占比,另一数据库；均无权限时年报专利数只能作低质量降级且先抽查累计数/当年数,申请与授权年份混淆；同族或重复专利；子公司合并范围；零记录是否等于零
P0-08,P0,CSMAR优先；RESSET后备,"CSMAR公司治理研究—股东持股/第一大股东表；RESSET主要股东名单与股权结构（MSHLSTANDOS）",RESSET表代码已核实；CSMAR实际表名待页面确认,入口池146只,2013-2023,年度取12月31日或最接近年末正式披露,"年末股东；占总股本比例",证券代码；截止日期；股东序号；股东名称；股东性质,RESSET仅表代码MSHLSTANDOS已核实；具体字段需页面确认,第一大股东持股数量；第一大股东占总股本比例；总股本,需在页面确认,是；同一股东表字段合并下载,Top1控制变量,另一数据库；缺失以年报前十大股东表,流通股口径误作总股本；多证券类别；同日多版本
P0-09,P0,CSMAR优先；RESSET后备,"CSMAR公司治理研究—董事会特征/高管任职表；RESSET公司治理—董事会与高管表",候选名称；需登录页面确认实际表名,入口池146只,2013-2023,年度年末,"年末在任人员；上市公司本体",证券代码；统计日期；人员ID；姓名；职务；任职起止日,需在页面确认,董事会人数；独立董事人数；董事长人员ID/姓名；总经理人员ID/姓名；数据库两职合一字段（若有）,需在页面确认,同一统计表可合并；人员明细与年度汇总分开下载,Board；Indep；Dual,另一数据库；缺失按年报董事监事高管表复核,换届年份；代理/联席总经理；同名人员；年内人数与年末人数混淆
