股票代码,公司全称,年份,公司营业收入_元,严格口径涉农业务,严格口径涉农收入_元,严格口径涉农收入占比,扩展口径涉农业务,扩展口径涉农收入_元,扩展口径涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,当年曾ST_已核实,最终回归样本资格_当前规则,纳入或剔除理由,主营业务证据PDF页序号,营业收入证据PDF页序号,年报链接,复核状态,复核日期
002991,甘源食品股份有限公司,2023,1847559891.15,无,0,0.00000000,休闲食品不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,主营青豌豆、瓜子仁、蚕豆和综合果仁等休闲食品，属于进一步食品加工，按既定规则排除。,21,95,https://static.cninfo.com.cn/finalpage/2024-04-24/1219767620.PDF,已人工复核（龙头独有第四批）,2026-08-07
003000,劲仔食品集团股份有限公司,2023,2065206610.45,无,0,0.00000000,休闲鱼制品、豆制品和禽肉制品不属于初加工,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,主营即食鱼制品、豆制品和禽肉制品等休闲食品，属于进一步食品加工，按既定规则排除。,23,80,https://static.cninfo.com.cn/finalpage/2024-03-28/1219425821.PDF,已人工复核（龙头独有第四批）,2026-08-07
300094,湛江国联水产开发股份有限公司,2023,4908864488.27,无单列直接养殖收入,0,0.00000000,可确认的饲料；水产食品中初加工收入未单列,263043181.64,0.05358534,否（同一披露维度；不符合范围的业务未计入）,否,待核实,待核实,否,待核实,饲料收入占5.36%；水产食品合并了初加工、精深加工、预制菜和全球海产精选，无法可靠拆分扩展分子，扩展及边界结论均待核实。,15,81,https://static.cninfo.com.cn/finalpage/2024-04-29/1219866201.PDF,已人工复核（龙头独有第四批）,2026-08-07
300119,瑞普生物股份有限公司,2023,2248962053.98,无直接农业收入,0,0.00000000,兽用生物制品、兽用制剂及原料药,2183106384.37,0.97071731,否（同一披露维度；不符合范围的业务未计入）,否,是,否,否,是（扩展样本）,兽用生物制品、兽用制剂及原料药按同一分行业维度合计占97.07%，属于农业投入品，进入扩展样本。,33,108,https://static.cninfo.com.cn/finalpage/2024-03-30/1219465976.PDF,已人工复核（龙头独有第四批）,2026-08-07
300138,晨光生物科技集团股份有限公司,2023,6871515007.68,无直接农业收入,0,0.00000000,棉籽类初加工业务,3548421149.37,0.51639575,否（同一披露维度；不符合范围的业务未计入）,否,是,否,否,是（扩展样本）,只计棉籽类初加工业务，占51.64%；天然色素、香辛料、营养及药用类产品和其他业务未计入。,29,112,https://static.cninfo.com.cn/finalpage/2024-04-18/1219651002.PDF,已人工复核（龙头独有第四批）,2026-08-07
300158,山西振东制药股份有限公司,2023,3626016132.88,药材种植、销售（披露合并口径上限）,696738222.38,0.19214979,药材种植、销售（披露合并口径上限）,696738222.38,0.19214979,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,即使将药材种植、销售合并收入全部作为涉农收入，上限也仅占19.21%；医药生产销售不计入，低于30%。,23,99,https://static.cninfo.com.cn/finalpage/2024-04-23/1219735904.PDF,已人工复核（龙头独有第四批）,2026-08-07
300783,三只松鼠股份有限公司,2023,7114575915.74,无,0,0.00000000,休闲食品不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,坚果、烘焙、肉制品和果干均按休闲食品口径排除，不能因原料来自农产品而纳入。,20,75,https://static.cninfo.com.cn/finalpage/2024-03-26/1219404481.PDF,已人工复核（龙头独有第四批）,2026-08-07
300871,武汉回盛生物科技股份有限公司,2023,1019758798.36,无直接农业收入,0,0.00000000,兽用原料药及制剂,942217427.49,0.92396107,否（同一披露维度；不符合范围的业务未计入）,否,是,否,否,是（扩展样本）,兽用原料药及制剂收入占92.40%，属于农业投入品，进入扩展样本。,22,104,https://static.cninfo.com.cn/finalpage/2024-04-25/1219796102.PDF,已人工复核（龙头独有第四批）,2026-08-07
300898,熊猫乳品集团股份有限公司,2023,946938152.54,无,0,0.00000000,浓缩乳制品、椰品及乳品贸易不按原奶初加工计入,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,主营浓缩乳制品、椰品及乳品贸易；按既定窄口径不属于可计的原奶初加工，且未披露直接农业收入，予以剔除。,19,91,https://static.cninfo.com.cn/finalpage/2024-04-25/1219793925.PDF,已人工复核（龙头独有第四批）,2026-08-07
300908,仲景食品股份有限公司,2023,994249429.79,无,0,0.00000000,调味食品及调味配料不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（低于30%或不属于扩展范围）,主营调味食品和调味配料，属于进一步食品加工；普通调味品按既定规则排除。,24,91,https://static.cninfo.com.cn/finalpage/2024-04-09/1219535199.PDF,已人工复核（龙头独有第四批）,2026-08-07
