股票代码,公司全称,年份,公司营业收入_元,严格口径涉农业务,严格口径涉农收入_元,严格口径涉农收入占比,扩展口径涉农业务,扩展口径涉农收入_元,扩展口径涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,当年曾ST_已核实,最终回归样本资格_当前规则,纳入或剔除理由,主营业务证据PDF页序号,营业收入证据PDF页序号,年报链接,复核状态,复核日期
000423,东阿阿胶股份有限公司,2023,4715265729.50,无可计入直接农业收入,0,0.00000000,阿胶及医药制造不属于既定扩展范围,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（仅可识别涉农收入低于30%或业务不属于扩展范围）,上市公司本体收入主要为阿胶及医药工业；医药深加工不属于农业生产、初加工、投入品或生产性服务。,15,78,https://static.cninfo.com.cn/finalpage/2024-03-22/1219375568.PDF,已人工复核（龙头独有第一批）,2026-08-07
000538,云南白药集团股份有限公司,2023,39111292156.00,未披露农业种植收入,0,0.00000000,未披露符合扩展范围的农业收入,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（仅可识别涉农收入低于30%或业务不属于扩展范围）,上市公司本体主要为医药制造和商业；年报仅出现少量种植成本而无对应农业收入，不能以成本推算收入。,24,113,https://static.cninfo.com.cn/finalpage/2024-03-30/1219474052.PDF,已人工复核（龙头独有第一批）,2026-08-07
000568,泸州老窖股份有限公司,2023,30233301388.26,无,0,0.00000000,白酒不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（仅可识别涉农收入低于30%或业务不属于扩展范围）,收入几乎全部来自白酒；酒类按既定规则原则上排除。,17,87,https://static.cninfo.com.cn/finalpage/2024-04-27/1219872991.PDF,已人工复核（龙头独有第一批）,2026-08-07
000623,吉林敖东药业集团股份有限公司,2023,3449123301.81,无可计入直接农业收入,0,0.00000000,医药和普通食品不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（仅可识别涉农收入低于30%或业务不属于扩展范围）,医药占75.63%、食品占10.53%；药品及普通食品制造不等同于农业生产或农产品初加工。,40,128,https://static.cninfo.com.cn/finalpage/2024-04-17/1219637050.PDF,已人工复核（龙头独有第一批）,2026-08-07
000848,承德露露股份公司,2023,2954638663.07,无,0,0.00000000,植物蛋白饮料不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（仅可识别涉农收入低于30%或业务不属于扩展范围）,植物蛋白饮料为普通饮料深加工，原料来自农产品不等于上市公司直接涉农。,17,67,https://static.cninfo.com.cn/finalpage/2024-04-17/1219638109.PDF,已人工复核（龙头独有第一批）,2026-08-07
000860,北京顺鑫农业股份有限公司,2023,10592555954.31,未披露直接养殖收入,0,0.00000000,生猪屠宰,2401225119.45,0.22668987,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（仅可识别涉农收入低于30%或业务不属于扩展范围）,白酒占64.41%；可计入扩展范围的屠宰收入仅占22.67%，低于30%，公司名称含农业不构成纳入依据。,16,69,https://static.cninfo.com.cn/finalpage/2024-04-27/1219858135.PDF,已人工复核（龙头独有第一批）,2026-08-07
000910,大亚圣象家居股份有限公司,2023,6531839928.26,无,0,0.00000000,木地板及家居制造不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（仅可识别涉农收入低于30%或业务不属于扩展范围）,主营木地板、人造板和家居制造，属于林产品深加工，不属于本研究列明的农业生产或农产品初加工。,13,85,https://static.cninfo.com.cn/finalpage/2024-03-29/1219442740.PDF,已人工复核（龙头独有第一批）,2026-08-07
002100,天康生物股份有限公司,2023,19025806286.59,生猪养殖产业链,5540721805.53,0.29122139,生猪养殖产业链、饲料,12033011274.57,0.63245736,否（同一披露维度；不符合范围的业务未计入）,否,是,否,否,是（扩展样本）,生猪养殖严格口径29.12%；仅加入饲料即达63.25%，扩展口径达标，未依赖玉米收储、油脂等边界业务。,16,94,https://static.cninfo.com.cn/finalpage/2024-04-29/1219863990.PDF,已人工复核（龙头独有第一批）,2026-08-07
002166,桂林莱茵生物科技股份有限公司,2023,1493929546.69,农业收入未单列,0,0.00000000,植物提取制造不属于初加工,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（仅可识别涉农收入低于30%或业务不属于扩展范围）,主营天然甜味剂和植物提取物，属于制造/深加工；年报未单列足以达到门槛的直接农业收入。,23,85,https://static.cninfo.com.cn/finalpage/2024-04-10/1219553198.PDF,已人工复核（龙头独有第一批）,2026-08-07
002216,三全食品股份有限公司,2023,7055930166.63,无,0,0.00000000,速冻食品不属于扩展范围,0,0.00000000,否（同一披露维度；不符合范围的业务未计入）,否,否,否,否,否（仅可识别涉农收入低于30%或业务不属于扩展范围）,主营速冻米面和调制食品，属于普通食品深加工，按既定规则排除。,23,98,https://static.cninfo.com.cn/finalpage/2024-04-26/1219817889.PDF,已人工复核（龙头独有第一批）,2026-08-07
