股票代码,公司全称,年份,行业分类代码,行业分类名称,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,严格口径营业收入_元,扩展口径营业收入_元,未计入但用于上限检验的乳制品收入_元,金额精度或补充证据说明,补充官方证据链接,公司营业收入_元,工作表采用涉农收入占比,严格口径收入占比,扩展口径收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期
002321,河南华英农业发展股份有限公司,2013,3.0,畜牧业,禽苗、种蛋及活禽；冻禽、鸭毛、饲料、羽绒初加工（扩展口径）,1573059951.64,154549908.04,1573059951.64,,,,1756369219.80,0.89563170,0.08799397,0.89563170,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占8.80%，未达50%；同一维度加入初加工和农业投入品后占89.56%，纳入扩展样本。原毛经洗涤、干燥、分级形成的羽绒材料计入初加工；熟食、成品羽绒制品、租赁及其他业务未计入；仅在同一分产品维度加总。,15,64,https://static.cninfo.com.cn/finalpage/2014-04-10/63812942.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002321,河南华英农业发展股份有限公司,2014,3.0,畜牧业,禽苗、种蛋及活禽；冻禽、鸭毛、饲料、羽绒初加工（扩展口径）,1658479355.15,212456773.06,1658479355.15,,,,1843102830.81,0.89983007,0.11527125,0.89983007,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占11.53%，未达50%；同一维度加入初加工和农业投入品后占89.98%，纳入扩展样本。原毛经洗涤、干燥、分级形成的羽绒材料计入初加工；熟食、成品羽绒制品、租赁及其他业务未计入；仅在同一分产品维度加总。,17,76,https://static.cninfo.com.cn/finalpage/2015-04-28/1200922602.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002321,河南华英农业发展股份有限公司,2015,3.0,畜牧业,禽苗、种蛋及活禽；冻禽、鸭毛、饲料、羽绒初加工（扩展口径）,1653080641.49,289428210.07,1653080641.49,,,,1857499503.11,0.88994944,0.15581604,0.88994944,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占15.58%，未达50%；同一维度加入初加工和农业投入品后占88.99%，纳入扩展样本。原毛经洗涤、干燥、分级形成的羽绒材料计入初加工；熟食、成品羽绒制品、租赁及其他业务未计入；仅在同一分产品维度加总。,16,70,https://static.cninfo.com.cn/finalpage/2016-04-08/1202150635.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002321,河南华英农业发展股份有限公司,2016,3.0,畜牧业,禽苗、种蛋及活禽；冻禽、鸭毛、饲料、羽绒初加工（扩展口径）,2214507296.97,258188473.41,2214507296.97,,,,2514708469.80,0.88062188,0.10267133,0.88062188,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占10.27%，未达50%；同一维度加入初加工和农业投入品后占88.06%，纳入扩展样本。原毛经洗涤、干燥、分级形成的羽绒材料计入初加工；熟食、成品羽绒制品、租赁及其他业务未计入；仅在同一分产品维度加总。,16,81,https://static.cninfo.com.cn/finalpage/2017-03-28/1203211798.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002321,河南华英农业发展股份有限公司,2017,3.0,畜牧业,禽苗、种蛋及活禽；冻禽、鸭毛、饲料、羽绒初加工（扩展口径）,3501102798.25,265286221.36,3501102798.25,,,,4121925898.01,0.84938519,0.06435977,0.84938519,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占6.44%，未达50%；同一维度加入初加工和农业投入品后占84.94%，纳入扩展样本。原毛经洗涤、干燥、分级形成的羽绒材料计入初加工；熟食、成品羽绒制品、租赁及其他业务未计入；仅在同一分产品维度加总。,17,81,https://static.cninfo.com.cn/finalpage/2018-05-26/1205007124.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002321,河南华英农业发展股份有限公司,2018,3.0,畜牧业,禽苗、种蛋及活禽；冻禽、鸭毛、饲料、羽绒初加工（扩展口径）,4462888025.93,501868086.76,4462888025.93,,,,5348828565.38,0.83436737,0.09382766,0.83436737,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占9.38%，未达50%；同一维度加入初加工和农业投入品后占83.44%，纳入扩展样本。原毛经洗涤、干燥、分级形成的羽绒材料计入初加工；熟食、成品羽绒制品、租赁及其他业务未计入；仅在同一分产品维度加总。,16,90,https://static.cninfo.com.cn/finalpage/2019-04-17/1206042127.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002321,河南华英农业发展股份有限公司,2019,3.0,畜牧业,禽苗、种蛋及活禽；冻禽、鸭毛、饲料、羽绒初加工（扩展口径）,4698234467.18,716313268.16,4698234467.18,,,,5517686134.68,0.85148636,0.12982131,0.85148636,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占12.98%，未达50%；同一维度加入初加工和农业投入品后占85.15%，纳入扩展样本。原毛经洗涤、干燥、分级形成的羽绒材料计入初加工；熟食、成品羽绒制品、租赁及其他业务未计入；仅在同一分产品维度加总。,16,97,https://static.cninfo.com.cn/finalpage/2020-05-30/1207878541.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002321,河南华英农业发展股份有限公司,2020,3.0,畜牧业,禽苗、种蛋及活禽；冻禽、鸭毛、饲料、羽绒初加工（扩展口径）,2552344669.38,87989625.61,2552344669.38,,,,3125556245.34,0.81660494,0.02815167,0.81660494,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占2.82%，未达50%；同一维度加入初加工和农业投入品后占81.66%，纳入扩展样本。原毛经洗涤、干燥、分级形成的羽绒材料计入初加工；熟食、成品羽绒制品、租赁及其他业务未计入；仅在同一分产品维度加总。,21,106,https://static.cninfo.com.cn/finalpage/2021-08-07/1210688205.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002321,河南华英农业发展股份有限公司,2021,3.0,畜牧业,禽苗、种蛋及活禽；冻禽、鸭毛、饲料、羽绒初加工（扩展口径）,2643337409.78,7967178.91,2643337409.78,,,,3192457799.66,0.82799447,0.00249563,0.82799447,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占0.25%，未达50%；同一维度加入初加工和农业投入品后占82.80%，纳入扩展样本。原毛经洗涤、干燥、分级形成的羽绒材料计入初加工；熟食、成品羽绒制品、租赁及其他业务未计入；仅在同一分产品维度加总。,27,124,https://static.cninfo.com.cn/finalpage/2022-04-30/1213266621.PDF,本次新增跨年快速复核（未合并）,2026-08-11
002321,河南华英农业发展股份有限公司,2022,待核实,待核实,禽苗、种蛋及活禽；冻禽、鸭毛、饲料、羽绒初加工（扩展口径）,2344679271.90,575434.40,2344679271.90,,,,2898364526.87,0.80896632,0.00019854,0.80896632,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占0.02%，未达50%；同一维度加入初加工和农业投入品后占80.90%，纳入扩展样本。原毛经洗涤、干燥、分级形成的羽绒材料计入初加工；熟食、成品羽绒制品、租赁及其他业务未计入；仅在同一分产品维度加总。,22,136,https://static.cninfo.com.cn/finalpage/2023-04-15/1216419837.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600265,云南景谷林业股份有限公司,2013,2.0,林业,林木销售；林板、木材及林化初加工（扩展口径）,163095400.00,163095400.00,243041540.21,,,,250238489.62,0.65175985,0.65175985,0.97123964,是,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,直接农业/林业收入占65.18%，达到50%，纳入严格样本。林木销售计入直接林业；林板/木材和松香、松节油等林化初加工计入扩展口径；能源、租赁、林地使用权及固定资产处置不计入。,23,50|124,https://static.cninfo.com.cn/finalpage/2014-04-19/63872933.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600265,云南景谷林业股份有限公司,2014,2.0,林业,林木销售；林板、木材及林化初加工（扩展口径）,92824141.50,0,92824141.50,,,,95927290.65,0.96765103,0.00000000,0.96765103,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占0.00%，未达50%；同一维度加入初加工和农业投入品后占96.77%，纳入扩展样本。林木销售计入直接林业；林板/木材和松香、松节油等林化初加工计入扩展口径；能源、租赁、林地使用权及固定资产处置不计入。,11,57,https://static.cninfo.com.cn/finalpage/2015-04-25/1200906399.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600265,云南景谷林业股份有限公司,2015,2.0,林业,林木销售；林板、木材及林化初加工（扩展口径）,82894713.72,0,82894713.72,,,,87847153.84,0.94362435,0.00000000,0.94362435,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占0.00%，未达50%；同一维度加入初加工和农业投入品后占94.36%，纳入扩展样本。林木销售计入直接林业；林板/木材和松香、松节油等林化初加工计入扩展口径；能源、租赁、林地使用权及固定资产处置不计入。,11,54,https://static.cninfo.com.cn/finalpage/2016-04-29/1202269006.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600265,云南景谷林业股份有限公司,2016,2.0,林业,林木销售；林板、木材及林化初加工（扩展口径）,64965591.94,0,64965591.94,,,,70718280.47,0.91865344,0.00000000,0.91865344,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占0.00%，未达50%；同一维度加入初加工和农业投入品后占91.87%，纳入扩展样本。林木销售计入直接林业；林板/木材和松香、松节油等林化初加工计入扩展口径；能源、租赁、林地使用权及固定资产处置不计入。,13,73,https://static.cninfo.com.cn/finalpage/2017-01-25/1203051940.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600265,云南景谷林业股份有限公司,2017,2.0,林业,林木销售；林板、木材及林化初加工（扩展口径）,63042437.46,0,63042437.46,,,,65973576.91,0.95557101,0.00000000,0.95557101,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占0.00%，未达50%；同一维度加入初加工和农业投入品后占95.56%，纳入扩展样本。林木销售计入直接林业；林板/木材和松香、松节油等林化初加工计入扩展口径；能源、租赁、林地使用权及固定资产处置不计入。,14,68,https://static.cninfo.com.cn/finalpage/2018-03-24/1204513763.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600265,云南景谷林业股份有限公司,2018,2.0,林业,林木销售及林板/木材初加工（林化产品贸易排除）,82879261.42,40558600.00,82879261.42,,,,118866706.52,0.69724538,0.34121077,0.69724538,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占34.12%，未达50%；同一维度加入初加工和农业投入品后占69.72%，纳入扩展样本。林木销售计入直接林业，林板/木材计入扩展口径；年报明确列为贸易的林化产品已排除。能源、租赁、林地使用权及固定资产处置不计入。,10、63,72,https://static.cninfo.com.cn/finalpage/2019-04-30/1206167518.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600265,云南景谷林业股份有限公司,2019,2.0,林业,林木销售；林板、木材及林化初加工（扩展口径）,72625814.64,29043300.00,72625814.64,,"全年林木销售收入由公司2020年年报问询函按万元披露为2,904.33万元；换算为元用于比例，来源精度为万元，并非精确到元。",https://static.cninfo.com.cn/finalpage/2021-05-18/1209994251.PDF,203245285.52,0.35733087,0.14289778,0.35733087,否,否,是,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占14.29%；扩展口径占35.73%，处于30%—50%，列为边界样本。林木销售计入直接林业；林板/木材和松香、松节油等林化初加工计入扩展口径；能源、租赁、林地使用权及固定资产处置不计入。,16-17；问询函9,70,https://static.cninfo.com.cn/finalpage/2020-04-24/1207582543.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600265,云南景谷林业股份有限公司,2020,2.0,林业,林木销售；林板、木材及林化初加工（扩展口径）,33498212.64,0,33498212.64,,,,50678245.07,0.66099788,0.00000000,0.66099788,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占0.00%，未达50%；同一维度加入初加工和农业投入品后占66.10%，纳入扩展样本。林木销售计入直接林业；林板/木材和松香、松节油等林化初加工计入扩展口径；能源、租赁、林地使用权及固定资产处置不计入。,15,64,https://static.cninfo.com.cn/finalpage/2021-04-29/1209857505.PDF,本次新增跨年快速复核（未合并）,2026-08-11
