股票代码,公司全称,年份,行业分类代码,行业分类名称,入口依据,涉农业务名称,涉农业务营业收入,公司营业收入,涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,纳入或剔除理由,当年曾ST_已核实,年末ST_已核实,当年退市整理期_已核实,年报链接,年报主营业务表PDF页序号,利润表PDF页序号,复核状态,口径提示
000798,中水集团远洋股份有限公司,2013,4.0,渔业,行业分类候选,远洋捕捞,227913798.54,296131021.96,0.76963838,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2014-04-25/63918750.PDF,16,52,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
000998,袁隆平农业高科技股份有限公司,2013,1.0,农业,行业分类候选,水稻、蔬菜瓜果、玉米、小麦及棉花油菜种子,1390256633.54,1884716266.51,0.73764771,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,,,,https://static.cninfo.com.cn/finalpage/2014-06-25/1200004735.PDF,22,87,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002041,山东登海种业股份有限公司,2013,1.0,农业,行业分类候选,玉米种子（保守产品口径）,1437157186.91,1505375096.66,0.95468378,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2014-04-23/63896809.PDF,14,58,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
002458,山东益生种畜禽股份有限公司,2013,3.0,畜牧业,行业分类候选,鸡、猪、牛奶,495697042.08,502875826.03,0.98572454,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,仅合计同一分行业维度的鸡、猪和牛奶收入，排除其他及农牧设备；直接畜牧业务保守占比超过50%。,,,,https://static.cninfo.com.cn/finalpage/2014-04-25/63915285.PDF,14,52,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002679,福建金森林业股份有限公司,2013,2.0,林业,行业分类候选,木材、种苗及林业经济作物（主营业务合计）,165084179.62,174263656.5,0.9473242,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,直接林业收入保守占比超过50%；未叠加其他披露维度。,,,,https://static.cninfo.com.cn/finalpage/2014-04-23/63896122.PDF,17,69,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
300087,安徽荃银高科种业股份有限公司,2013,1.0,农业,行业分类候选,水稻、小麦、玉米、瓜菜、棉花、油菜种子,427793892.36,466066716.75,0.91788123,否（同一分产品维度内求和）,是,是,否,仅合计当年年报明确列示的种子产品收入，已超过合并营业收入50%；未计订单粮食、青贮、农批市场、农机农化、服务及含义不清的其他项。,,,,https://static.cninfo.com.cn/finalpage/2014-04-03/63780058.PDF,49,92,已人工复核（跨年快速核对第四批）,逐年核对官方年报分产品收入；仅用明确种子项目的保守分子，不复制相邻年度。
300189,海南神农种业科技股份有限公司,2013,1.0,农业,行业分类候选,杂交水稻、玉米、棉花、蔬菜及其他种子,398617600.0,454365781.09,0.8773055,否（同一分产品维度内求和）,是,是,否,明确种子产品收入已超过合并营业收入50%，未计农化、粮食、房屋、供应链等项目。,,,,https://static.cninfo.com.cn/finalpage/2014-04-25/63918533.PDF,21,88,已人工复核（跨年快速核对第五批）,逐年核对官方年报分产品收入，业务转型年份按当年实际口径判定。
600108,甘肃亚盛实业(集团)股份有限公司,2013,1.0,农业,行业分类候选,农业种植,2027826879.3,2336837177.69,0.86776558,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2014-04-25/63914686.PDF,11,59,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
600371,万向德农股份有限公司,2013,1.0,农业,行业分类候选,种子行业,385242040.47,413015082.51,0.93275538,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2014-04-24/63901035.PDF,12,39,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
600467,山东好当家海洋发展股份有限公司,2013,4.0,渔业,行业分类候选,水产养殖、捕捞,574305220.57,969331768.19,0.59247539,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2014-04-23/63893669.PDF,13,51,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
