股票代码,公司全称,年份,公司营业收入_元,严格口径涉农业务,严格口径涉农收入_元,严格口径涉农收入占比,扩展口径涉农业务,扩展口径涉农收入_元,扩展口径涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,当年曾ST_已核实,最终回归样本资格_当前规则,纳入或剔除理由,主营业务证据PDF页序号,营业收入证据PDF页序号,年报链接,复核状态,复核日期
002329,皇氏集团股份有限公司,2023,2892839473.25,未单列奶牛养殖收入,0,0.00000000,低温奶、常温奶原奶初加工,2000910399.03,0.69167696,按分产品或分行业同一维度；合并披露时保持待核实,否,是,否,否,是（扩展样本）,低温奶和常温奶合计占69.17%，按原奶初加工计入扩展口径；直接奶牛养殖收入未单列。,25,113,https://static.cninfo.com.cn/finalpage/2024-04-26/1219842467.PDF,已人工复核（龙头独有第二批）,2026-08-07
002385,北京大北农科技集团股份有限公司,2023,33390129865.04,生猪养殖、种业,7107538626.46,0.21286346,生猪养殖、种业、饲料、植保、疫苗、兽药,31629839198.29,0.94728111,按分产品或分行业同一维度；合并披露时保持待核实,否,是,否,否,是（扩展样本）,养猪和种业严格口径21.29%；加入农业投入品后扩展口径94.73%。,24,216,https://static.cninfo.com.cn/finalpage/2024-04-26/1219831744.PDF,已人工复核（龙头独有第二批）,2026-08-07
002390,贵州信邦制药股份有限公司,2023,6460841315.46,无,0,0.00000000,医药制造与流通不属于扩展范围,0,0.00000000,按分产品或分行业同一维度；合并披露时保持待核实,否,否,否,否,否（低于30%或不属于扩展范围）,主营医药流通和制造，药品不属于农业生产、初加工、投入品或生产性服务。,28,110,https://static.cninfo.com.cn/finalpage/2024-04-16/1219618646.PDF,已人工复核（龙头独有第二批）,2026-08-07
002424,贵州百灵企业集团制药股份有限公司,2023,4262971440.21,无,0,0.00000000,医药制造不属于扩展范围,0,0.00000000,按分产品或分行业同一维度；合并披露时保持待核实,否,否,否,否,否（低于30%或不属于扩展范围）,上市公司本体主营中成药等医药制造，未披露达到门槛的直接农业收入。,27,110,https://static.cninfo.com.cn/finalpage/2024-04-30/1219927538.PDF,已人工复核（龙头独有第二批）,2026-08-07
002431,棕榈生态城镇发展股份有限公司,2023,4051153704.40,无,0,0.00000000,园林工程不属于农业生产性服务,0,0.00000000,按分产品或分行业同一维度；合并披露时保持待核实,否,否,否,否,否（低于30%或不属于扩展范围）,园林施工收入占95.56%，属于工程建设和生态城镇业务，不属于农业生产性服务。,24,113,https://static.cninfo.com.cn/finalpage/2024-05-28/1220173204.PDF,已人工复核（龙头独有第二批）,2026-08-07
002481,烟台双塔食品股份有限公司,2023,2455941328.95,无单列直接农业收入,0,0.00000000,食用蛋白、豌豆干淀粉、膳食纤维,1483932885.31,0.60422164,按分产品或分行业同一维度；合并披露时保持待核实,否,是,否,否,是（扩展样本）,三项豌豆初加工产品合计占60.42%，扩展口径达标；粉丝和其他收入未计入。,16,68,https://static.cninfo.com.cn/finalpage/2024-04-20/1219699565.PDF,已人工复核（龙头独有第二批）,2026-08-07
002507,重庆市涪陵榨菜集团股份有限公司,2023,2449845145.50,无,0,0.00000000,榨菜及调味食品不属于扩展范围,0,0.00000000,按分产品或分行业同一维度；合并披露时保持待核实,否,否,否,否,否（低于30%或不属于扩展范围）,食品加工占99.84%，主要为榨菜等腌制调味食品，按普通食品/调味品规则排除。,19,79,https://static.cninfo.com.cn/finalpage/2024-03-30/1219462373.PDF,已人工复核（龙头独有第二批）,2026-08-07
002548,深圳市金新农科技股份有限公司,2023,4040387757.83,畜牧养殖,1143344356.53,0.28297887,畜牧养殖、饲料加工,3741156573.98,0.92593998,按分产品或分行业同一维度；合并披露时保持待核实,否,是,否,否,是（扩展样本）,养殖收入占28.30%，未达严格门槛；加入饲料后扩展口径92.59%，原料贸易未计入。,24,101|109,https://static.cninfo.com.cn/finalpage/2024-04-30/1219919082.PDF,已人工复核（龙头独有第二批）,2026-08-07
002557,洽洽食品股份有限公司,2023,6805627279.13,无,0,0.00000000,休闲食品不属于扩展范围,0,0.00000000,按分产品或分行业同一维度；合并披露时保持待核实,否,否,否,否,否（低于30%或不属于扩展范围）,主营瓜子、坚果等休闲食品，按既定规则排除。,19,98,https://static.cninfo.com.cn/finalpage/2024-04-26/1219833637.PDF,已人工复核（龙头独有第二批）,2026-08-07
002566,吉林省集安益盛药业股份有限公司,2023,853664904.92,未单列人参种植收入,0,0.00000000,可识别人参类产品,66229313.40,0.07758233,按分产品或分行业同一维度；合并披露时保持待核实,否,否,否,否,否（低于30%或不属于扩展范围）,主营医药和健康食品；即使将全部人参类产品计入扩展口径也仅占7.76%，低于30%。,16,63,https://static.cninfo.com.cn/finalpage/2024-04-19/1219664001.PDF,已人工复核（龙头独有第二批）,2026-08-07
