股票代码,公司全称,年份,公司营业收入_元,严格口径涉农业务,严格口径涉农收入_元,严格口径涉农收入占比,扩展口径涉农业务,扩展口径涉农收入_元,扩展口径涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,当年曾ST_已核实,最终回归样本资格_当前规则,纳入或剔除理由,主营业务证据PDF页序号,营业收入证据PDF页序号,年报链接,复核状态,复核日期
000048,深圳市京基智农时代股份有限公司,2023,12417006232.40,养殖业,2887427838.54,0.23253816,养殖业、饲料生产,3810886277.93,0.30690862,否（采用分行业不重叠口径）,否,否,是,否,否（仅边界稳健性）,严格口径23.25%，扩展口径30.69%；达到30%但未达到50%，列为边界样本。,16,70,https://static.cninfo.com.cn/finalpage/2024-03-20/1219348059.PDF,已人工复核（第一批）,2026-08-06
000713,国投丰乐种业股份有限公司,2023,3113679181.58,种子类,884274033.87,0.28399651,种子类、农化类,2812737488.63,0.90334852,否（采用分行业不重叠口径）,否,是,否,否,是（扩展样本）,种子业务严格口径28.40%；加入农业投入品农化业务后扩展口径90.33%。,23,102,https://static.cninfo.com.cn/finalpage/2024-04-26/1219827331.PDF,已人工复核（第一批）,2026-08-06
000735,罗牛山股份有限公司,2023,4100302074.67,畜牧业,1022047230.61,0.24926145,畜牧业、农副产品加工业,2285869183.60,0.55748800,否（采用分行业不重叠口径）,否,是,否,否,是（扩展样本）,畜牧业严格口径24.93%；加入农产品初加工后扩展口径55.75%。,18,70,https://static.cninfo.com.cn/finalpage/2024-04-27/1219856343.PDF,已人工复核（第一批）,2026-08-06
000798,中水集团远洋股份有限公司,2023,4041783287.50,捕捞、渔业服务,2926498175.17,0.72406113,捕捞、渔业服务,2926498175.17,0.72406113,否（采用分行业不重叠口径）,是,是,否,否,是（严格样本）,捕捞与渔业服务分别对应A04和A05，合计严格口径72.41%；未将一般零售、加工及贸易机械计入。,12,80,https://static.cninfo.com.cn/finalpage/2024-03-28/1219426831.PDF,已人工复核（第一批）,2026-08-06
000998,袁隆平农业高科技股份有限公司,2023,9223216747.53,农业（水稻种子、玉米种子）,7807420305.76,0.84649646,农业（水稻种子、玉米种子）,7807420305.76,0.84649646,否（采用分行业不重叠口径）,是,是,否,否,是（严格样本）,农业分行业收入占84.65%，达到严格样本50%门槛。,31,108,https://static.cninfo.com.cn/finalpage/2024-04-29/1219866222.PDF,已人工复核（第一批）,2026-08-06
001201,东瑞食品集团股份有限公司,2023,1037067905.17,畜牧业（生猪）,961270931.71,0.92691224,畜牧业（生猪）、饲料加工业,1010046413.19,0.97394434,否（采用分行业不重叠口径）,是,是,否,否,是（严格样本）,生猪收入严格口径92.69%；加入饲料后扩展口径97.39%。年报注明饲料主要供内部猪场使用，但表列收入未与生猪收入重叠。,17,151,https://static.cninfo.com.cn/finalpage/2024-04-30/1219910083.PDF,已人工复核（第一批）,2026-08-06
002041,山东登海种业股份有限公司,2023,1551975042.78,农业（种业）,1551975042.78,1.00000000,农业（种业）,1551975042.78,1.00000000,否（采用营业收入构成总表）,是,是,否,否,是（严格样本）,"营业收入构成表中农业收入占100%；未误用仅披露占比10%以上项目的1,531,128,505.10元。",14,64,https://static.cninfo.com.cn/finalpage/2024-04-23/1219737119.PDF,已人工复核（第一批）,2026-08-06
002069,獐子岛集团股份有限公司,2023,1677473644.98,海水养殖、牡蛎苗种技术服务,273786571.07,0.16321363,海水养殖、水产品加工、牡蛎苗种技术服务,923163617.64,0.55032973,否（采用分行业不重叠口径）,否,是,否,是,否（ST剔除）,严格口径16.32%；加入水产品加工后扩展口径55.03%。技术服务经年报说明为牡蛎苗种业务。2023年曾ST，最终回归样本仍须剔除。,17,75,https://static.cninfo.com.cn/finalpage/2024-04-27/1219862446.PDF,已人工复核（第一批）,2026-08-06
002086,山东东方海洋科技股份有限公司,2023,437233445.62,海水养殖,88096305.46,0.20148574,海水养殖、水产品加工,217376397.83,0.49716324,否（采用分行业不重叠口径）,否,否,是,是,否（ST剔除）,严格口径20.15%，扩展口径49.72%，未达到50%，列为边界样本；2023年为ST，最终回归样本须剔除。,18,110,https://static.cninfo.com.cn/finalpage/2024-04-30/1219924758.PDF,已人工复核（第一批）,2026-08-06
002124,天邦食品股份有限公司,2023,10231927988.44,生猪养殖,7310675390.02,0.71449637,生猪养殖、食品加工,9794235835.37,0.95722291,否（采用分行业不重叠口径）,是,是,否,否,是（严格样本）,生猪养殖收入严格口径71.45%；加入屠宰等食品加工后扩展口径95.72%。,19,79,https://static.cninfo.com.cn/finalpage/2024-04-30/1219920450.PDF,已人工复核（第一批）,2026-08-06
